Time,Lap_Number,Engine_RPM,Engine_Torque_Nm,Speed_MS,Lat_Accel_G,Long_Accel_G,Pitch_Rad,Roll_Rad,CG_Height_m,Load_FL_N,Load_FR_N,Load_RL_N,Load_RR_N
0.0,1,0,0.0,0.01,-0.025,0.152,0.977,0.019,0.0,2,0,0,100
0.019,1,0,0.0,0.0,-0.1,0.132,0.977,0.0205,0.0,2,0,0,100
0.035,1,0,0.0,0.01,0.129,0.153,0.977,0.0193,0.0,2,0,0,100
0.067,1,0,0.0,0.01,-0.015,0.154,0.977,0.0187,0.0,2,0,0,100
0.098,1,0,0.0,0.0,-0.014,0.144,0.977,0.0203,0.0,2,0,0,100
0.114,1,0,0.0,0.0,0.051,0.118,0.977,0.0194,0.0,2,0,0,100
0.13,1,0,0.0,0.0,-0.039,-0.125,0.977,0.0172,0.0,-2,0,0,100
0.162,1,0,0.0,0.01,-0.018,0.132,0.977,0.0176,0.0,2,0,0,100
0.178,1,0,0.0,0.01,0.068,-0.151,0.977,0.0174,0.0,-2,0,0,100
0.209,1,0,0.0,0.0,0.015,0.148,0.977,0.0178,0.0,2,0,0,100
0.24,1,0,0.0,0.01,-0.004,0.149,0.977,0.0183,0.0,2,0,0,100
0.271,1,0,0.0,0.0,0.061,0.125,0.977,0.0184,0.0,2,0,0,100
0.288,1,0,0.0,0.0,0.046,0.122,0.977,0.019,0.0,2,0,0,100
0.319,1,0,0.0,0.0,-0.05,0.163,0.977,0.0205,0.0,2,0,0,100
0.335,1,0,0.0,0.0,0.054,0.135,0.977,0.0208,0.0,2,0,0,100
0.367,1,0,0.0,0.0,0.039,0.145,0.977,0.0203,0.0,2,0,0,100
0.399,1,0,0.0,0.0,0.012,-0.176,0.977,0.0214,0.0,-2,0,0,100
0.415,1,0,0.0,0.0,-0.084,0.157,0.977,0.0203,0.0,2,0,0,100
0.446,1,0,0.0,0.0,0.016,0.158,0.977,0.0202,0.0,2,0,0,100
0.476,1,0,0.0,0.0,0.015,-0.155,0.977,0.0192,0.0,-2,0,0,100
0.507,1,0,0.0,0.0,-0.033,-0.165,0.977,0.0187,0.0,-2,0,0,100
0.524,1,0,0.0,0.01,-0.021,0.141,0.977,0.02,0.0,2,0,0,100
0.54,1,0,0.0,0.0,-0.085,0.128,0.977,0.0203,0.0,2,0,0,100
0.572,1,0,0.0,0.0,0.024,0.131,0.977,0.0191,0.0,2,0,0,100
0.602,1,0,0.0,0.01,-0.225,-0.17,0.977,0.017,0.0,-2,0,0,100
0.619,1,0,0.0,0.01,0.21,0.147,0.977,0.0178,0.0,2,0,0,100
0.649,1,0,0.0,0.01,0.072,0.133,0.977,0.0173,0.0,2,0,0,100
0.665,1,0,0.0,0.01,0.152,0.159,0.977,0.0182,0.0,2,0,0,100
0.697,1,0,0.0,0.01,0.234,0.13,0.977,0.0155,0.0,2,0,0,100
0.713,1,0,0.0,0.01,-0.014,0.132,0.977,0.0131,0.0,2,0,0,100
0.745,1,0,0.0,0.0,0.042,0.159,0.977,0.0162,0.0,2,0,0,100
0.775,1,0,0.0,0.01,0.024,0.16,0.977,0.018,0.0,2,0,0,100
0.805,1,0,0.0,0.01,0.02,0.137,0.977,0.0171,0.0,2,0,0,100
0.837,1,0,0.0,0.0,0.016,-0.138,0.977,0.0153,0.0,-2,0,0,100
0.854,1,0,0.0,0.0,0.005,0.143,0.977,0.0165,0.0,2,0,0,100
0.87,1,0,0.0,0.0,0.003,0.129,0.977,0.0176,0.0,2,0,0,100
0.902,1,0,0.0,0.0,0.067,0.15,0.977,0.0188,0.0,2,0,0,100
0.932,1,0,0.0,0.0,0.001,0.156,0.977,0.0207,0.0,2,0,0,100
0.949,1,0,0.0,0.0,-0.003,0.163,0.977,0.0191,0.0,2,0,0,100
0.965,1,0,0.0,0.0,0.009,-0.181,0.977,0.0203,0.0,-2,0,0,100
0.997,1,0,0.0,0.0,-0.005,0.134,0.977,0.0202,0.0,2,0,0,100
1.027,1,0,0.0,0.0,0.02,0.147,0.977,0.0205,0.0,2,0,0,100
1.044,1,0,0.0,0.0,-0.072,0.166,0.977,0.0203,0.0,2,0,0,100
1.06,1,0,0.0,0.0,0.011,-0.153,0.977,0.0186,0.0,-2,0,0,100
1.09,1,0,0.0,0.0,-0.043,-0.135,0.977,0.0203,0.0,-2,0,0,100
1.121,1,0,0.0,0.0,-0.048,0.134,0.977,0.0183,0.0,2,0,0,100
1.153,1,0,0.0,0.0,0.028,0.149,0.977,0.0193,0.0,2,0,0,100
1.185,1,0,0.0,0.01,0.083,-0.149,0.977,0.021,0.0,-2,0,0,100
1.201,1,0,0.0,0.0,-0.035,0.166,0.977,0.0203,0.0,2,0,0,100
1.232,1,0,0.0,0.0,-0.003,0.149,0.977,0.0207,0.0,2,0,0,100
1.263,1,0,0.0,0.01,-0.053,-0.142,0.977,0.02,0.0,-2,0,0,100
1.279,1,0,0.0,0.01,0.037,0.156,0.977,0.0211,0.0,2,0,0,100
1.31,1,0,0.0,0.01,0.071,0.175,0.977,0.0203,0.0,2,0,0,100
