Time,RPM,Gear,Speed_KPH,Gas_Input,Lat_G,Long_G,Pitch,Roll,FL_Load,FR_Load,RL_Load,RR_Load,FL_Slip,FR_Slip,RL_Slip,RR_Slip
0.0,1123,1,0.6,0.0,0.001,0.043,0.004,-0.0,4987,4984,4809,4793,0.02,0.02,0.04,0.04
0.03,1130,1,0.6,0.02,-0.008,-0.074,0.004,-0.0,4985,4990,4846,4837,0.02,0.01,0.03,0.02
0.061,1134,1,0.6,0.02,0.03,0.077,0.004,-0.0,4990,4984,4846,4856,0.01,0.03,0.02,0.02
0.092,1129,1,0.7,0.02,0.026,-0.007,0.004,-0.0,4973,4978,4854,4858,0.01,0.02,0.02,0.02
0.123,1130,1,0.7,0.02,-0.023,-0.063,0.004,-0.0,4967,4987,4817,4839,0.03,0.01,0.03,0.02
0.154,1133,1,0.7,0.02,0.008,0.059,0.004,-0.0,4969,4986,4840,4853,0.01,0.03,0.02,0.02
0.17,1135,1,0.7,0.02,-0.042,0.062,0.004,-0.0,4969,4987,4834,4844,0.03,0.01,0.02,0.02
0.202,1131,1,0.7,0.02,-0.019,-0.034,0.004,-0.0,4973,4987,4770,4781,0.02,0.02,0.03,0.03
0.218,1125,1,0.7,0.0,-0.027,-0.091,0.004,-0.0,4979,4985,4802,4815,0.04,0.01,0.02,0.02
0.235,1119,1,0.7,0.0,0.005,-0.097,0.004,-0.0,4986,4982,4803,4812,0.02,0.04,0.04,0.04
0.267,1123,1,0.7,0.0,-0.07,0.083,0.004,-0.0,4992,4988,4803,4836,0.04,0.01,0.02,0.01
0.297,1119,1,0.7,0.0,-0.001,0.088,0.004,-0.0,4990,4990,4824,4782,0.03,0.02,0.03,0.05
0.314,1121,1,0.7,0.02,-0.02,-0.044,0.004,-0.0,4999,4987,4822,4829,0.03,0.02,0.03,0.01
0.345,1115,1,0.8,0.0,-0.043,0.028,0.004,-0.0,4987,4993,4848,4840,0.03,0.01,0.02,0.01
0.376,1114,1,0.8,0.0,0.035,0.021,0.004,-0.0,4989,4990,4835,4831,0.02,0.04,0.02,0.02
0.392,1113,1,0.8,0.0,-0.007,0.037,0.004,-0.0,4990,4994,4834,4822,0.04,0.01,0.02,0.03
0.408,1116,1,0.8,0.0,0.015,0.006,0.004,-0.0,4999,4984,4817,4826,0.02,0.04,0.02,0.02
0.44,1120,1,0.8,0.0,0.03,-0.031,0.004,-0.0,4991,4994,4814,4813,0.03,0.03,0.02,0.03
0.457,1118,1,0.8,0.02,-0.01,-0.018,0.004,-0.0,4995,4995,4827,4826,0.03,0.03,0.02,0.03
0.473,1123,1,0.8,0.02,0.034,0.073,0.004,-0.0,4992,5000,4818,4810,0.02,0.03,0.01,0.02
0.504,1119,1,0.8,0.0,-0.007,-0.025,0.004,-0.0,4998,4994,4785,4814,0.03,0.03,0.03,0.02
0.535,1128,1,0.8,0.02,-0.013,-0.037,0.004,-0.0,4987,5002,4803,4808,0.04,0.03,0.02,0.02
0.567,1117,1,0.8,0.0,0.035,0.045,0.004,-0.0,4983,4998,4820,4828,0.02,0.03,0.02,0.01
0.598,1118,1,0.8,0.0,-0.02,0.06,0.004,-0.0,4986,4984,4780,4817,0.03,0.02,0.02,0.03
0.629,1121,1,0.8,0.0,0.022,-0.075,0.004,-0.0,4989,4993,4795,4812,0.03,0.02,0.02,0.02
0.645,1127,1,0.8,0.02,-0.004,-0.032,0.004,-0.0,4993,4992,4824,4823,0.03,0.03,0.02,0.02
