Time,Speed_MS,RPM,Long_Accel_G,Drag_Force_N,Net_Force_N,Total_Tractive_Force_N,Est_Wheel_Torque_Nm
0.0,0.0,4006,0.0,0.0,0.0,0.0,0.0
0.034,0.0,4006,0.0,0.0,0.0,0.0,0.0
0.065,0.0,4005,0.0,0.0,0.0,0.0,0.0
0.097,0.0,4005,0.0,0.0,0.0,0.0,0.0
0.127,0.0,4004,0.0,0.0,0.0,0.0,0.0
0.159,0.0,4004,0.0,0.0,0.0,0.0,0.0
0.189,0.0,4004,0.0,0.0,0.0,0.0,0.0
0.222,0.0,4003,0.0,0.0,0.0,0.0,0.0
0.253,0.0,4003,0.0,0.0,0.0,0.0,0.0
0.284,0.0,4003,0.0,0.0,0.0,0.0,0.0
0.314,0.0,4003,0.0,0.0,0.0,0.0,0.0
0.344,0.0,4002,0.0,0.0,0.0,0.0,0.0
0.376,0.0,4002,0.0,0.0,0.0,0.0,0.0
0.408,0.0,4002,0.0,0.0,0.0,0.0,0.0
0.441,0.0,4002,0.0,0.0,0.0,0.0,0.0
0.472,0.0,4002,0.0,0.0,0.0,0.0,0.0
0.503,0.0,4002,0.0,0.0,0.0,0.0,0.0
0.534,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.565,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.597,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.628,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.659,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.691,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.72,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.752,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.783,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.813,0.0,4001,0.0,0.0,0.0,0.0,0.0
0.846,0.0,4000,0.0,0.0,0.0,0.0,0.0
0.877,0.0,4000,0.0,0.0,0.0,0.0,0.0
0.908,0.0,4000,0.0,0.0,0.0,0.0,0.0
0.938,0.0,4000,0.0,0.0,0.0,0.0,0.0
0.968,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.0,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.033,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.064,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.095,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.127,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.158,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.189,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.221,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.251,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.282,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.313,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.344,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.375,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.406,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.437,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.469,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.501,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.531,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.562,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.594,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.626,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.657,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.689,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.721,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.751,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.781,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.812,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.844,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.875,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.907,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.94,0.0,4000,0.0,0.0,0.0,0.0,0.0
1.972,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.005,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.036,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.067,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.098,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.129,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.16,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.191,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.222,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.253,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.284,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.315,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.346,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.377,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.409,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.44,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.471,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.502,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.533,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.564,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.596,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.628,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.66,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.691,0.0,4000,0.0,0.0,0.0,0.0,0.0
2.723,0.0,4000,0.0,0.0,0.0,0.0,0.0
