Time_ms,Volt,Enepaq_T,Ambient_T,UPS_V,Module_V
506396,1.9125,20.62,22,3.5,4.1808
507395,1.9112,20.73,22,3.5,4.1808
508401,1.9112,20.73,22,3.49,4.1808
509396,1.9112,20.73,22,3.49,4.1808
510396,1.9088,20.94,19.5,3.49,4.1808
511396,1.9112,20.73,19.5,3.49,4.1808
512401,1.9088,20.94,21.75,3.49,4.1808
513396,1.9088,20.74,21.75,3.49,4.1808
514396,1.9112,20.73,21.75,3.49,4.1808
515396,1.9088,20.9,21.75,3.49,4.1808
516396,1.9088,20.94,22,3.49,4.1808
517396,1.9088,20.94,22,3.49,4.1808
518396,1.91,20.83,21.75,3.49,4.1808
519396,1.9088,20.94,21.75,3.49,4.1808
520396,1.9075,21.04,21.75,3.49,4.1808
521396,1.9088,20.94,21.75,3.49,4.1808
522396,1.9112,20.73,21.75,3.47,4.1808
523396,1.9075,21.04,21.25,3.47,4.1808
524396,1.9075,21.04,21.25,3.49,4.1808
525396,1.91,20.83,21.75,3.49,4.1808
526396,1.9112,20.73,21.75,3.49,4.1808
527396,1.9088,20.94,22,3.49,4.1808
528396,1.9088,20.94,22,3.49,4.1808
529396,1.9112,20.73,21.75,3.49,4.1808
530396,1.9112,20.73,21.75,3.49,4.1808
531396,1.9088,20.94,21.5,3.49,4.1808
532395,1.9088,20.94,21.5,3.47,4.1808
533395,1.9112,20.73,21.75,3.47,4.1808
534396,1.9112,20.73,21.75,3.49,4.1808
535396,1.9088,20.94,22,3.49,4.1808
536395,1.9088,20.94,22,3.49,4.1808
537396,1.9112,20.73,22,3.49,4.1808
538396,1.91,20.83,22,3.49,4.1808
539396,1.9075,21.04,19.5,3.49,4.1808
540396,1.9112,20.73,19.5,3.49,4.1808
541395,1.9075,21.04,21.25,3.49,4.1808
542396,1.9112,20.73,21.25,3.47,4.1808
543396,1.9088,20.94,21.25,3.47,4.1808
544396,1.9088,20.94,21.25,3.49,4.1808
545396,1.9112,20.73,21.25,3.49,4.1808
546395,1.9088,20.77,22,3.49,4.1808
547396,1.9088,20.94,22,3.49,4.1808
548396,1.91,20.83,21.25,3.49,4.1808
549396,1.9112,20.73,21.25,3.49,4.1808
550406,1.905,20.88,22,3.47,4.1808
551407,1.9088,20.94,22,3.47,4.1808
552426,1.91,20.83,22,3.47,4.1808
