Time_ms,Volt,Enepaq_T,Ambient_T,UPS_V,Module_V
3959037,1.8975,21.84,20.50,3.79,4.17
3959535,1.9037,21.31,20.50,3.79,4.17
3960035,1.9050,21.27,21.00,3.78,4.17
3960535,1.9050,21.29,21.00,3.78,4.17
3961036,1.9050,21.25,21.00,3.78,4.17
3961535,1.9050,21.27,21.00,3.78,4.17
3962037,1.9050,21.22,21.00,3.78,4.17
3962537,1.9062,21.29,21.00,3.78,4.17
3963037,1.9050,21.33,21.00,3.78,4.17
3963537,1.9050,21.23,21.00,3.78,4.17
3964036,1.9050,21.25,21.00,3.78,4.17
3964537,1.9037,21.27,20.50,3.78,4.17
3965046,1.9050,21.19,20.50,3.78,4.17
3965547,1.9062,21.15,20.50,3.78,4.17
3966046,1.9037,21.20,20.50,3.78,4.17
3966546,1.8975,21.87,20.00,3.76,4.17
3967046,1.8975,21.86,20.00,3.76,4.17
3967546,1.9050,21.18,20.00,3.76,4.17
3968046,1.9062,21.19,20.00,3.76,4.17
3968547,1.9037,21.21,21.00,3.78,4.17
3969046,1.9062,21.10,21.00,3.78,4.17
3969547,1.8975,21.85,21.00,3.78,4.17
3970046,1.9050,21.17,21.00,3.78,4.17
3970547,1.9062,21.19,21.00,3.78,4.17
3971046,1.9050,21.18,21.00,3.78,4.17
3971547,1.9062,21.13,21.00,3.78,4.17
3972046,1.9062,21.20,21.00,3.78,4.17
3972547,1.9000,21.40,21.00,3.78,4.17
3973046,1.9050,21.19,20.75,3.78,4.17
3973547,1.8975,21.83,20.75,3.78,4.17
3974046,1.9050,21.20,20.75,3.78,4.17
3974547,1.9050,21.19,20.75,3.78,4.17
3975046,1.9062,21.14,20.00,3.78,4.17
3975546,1.9062,21.21,20.00,3.78,4.17
3976046,1.9062,21.21,20.00,3.78,4.17
3976546,1.8987,21.67,20.00,3.76,4.17
3977046,1.9050,21.20,21.00,3.76,4.17
3977547,1.8987,21.80,21.00,3.76,4.17
3978046,1.9050,21.20,21.00,3.76,4.17
3978546,1.9062,21.15,21.00,3.78,4.17
3979046,1.9062,21.19,20.75,3.78,4.17
3979546,1.9062,21.15,20.75,3.78,4.17
3980046,1.9075,21.11,20.75,3.78,4.17
3980549,1.8963,21.85,20.75,3.78,4.17
3981046,1.9062,21.17,20.75,3.78,4.17
3981546,1.9062,21.18,20.75,3.78,4.17
3982046,1.9050,21.24,20.75,3.78,4.17
3982547,1.9062,21.18,20.75,3.76,4.17
3983046,1.9062,21.17,20.75,3.76,4.17
3983546,1.9062,21.20,20.25,3.76,4.17
3984046,1.9062,21.17,20.25,3.76,4.17
3984547,1.8963,21.95,20.25,3.78,4.17
3985046,1.9062,21.20,20.25,3.78,4.17
3985547,1.9062,21.50,20.50,3.78,4.17
3986046,1.9050,21.12,20.50,3.78,4.17
3986546,1.9062,21.17,20.50,3.76,4.17
3987046,1.9062,21.18,20.50,3.76,4.17
3987546,1.9062,21.24,21.00,3.76,4.17
3988046,1.9062,21.20,21.00,3.76,4.17
3988548,1.8975,21.97,21.00,3.78,4.17
3989046,1.9062,21.18,21.00,3.78,4.17
3989547,1.9050,21.26,20.75,3.78,4.17
3990046,1.9050,21.26,20.75,3.78,4.17
3990549,1.8950,21.89,20.75,3.76,4.17
3991048,1.8963,21.86,20.75,3.76,4.17
3991549,1.9062,21.23,21.00,3.76,4.17
3992048,1.9037,21.30,21.00,3.76,4.17
3992569,1.9062,21.23,21.00,3.78,4.17
3993068,1.9050,21.22,21.00,3.78,4.17
3993569,1.8937,22.19,21.00,3.78,4.17
3994068,1.8975,21.93,20.25,3.78,4.17
3994568,1.9037,21.24,20.25,3.78,4.17
3995068,1.9050,21.27,20.25,3.78,4.17
3995569,1.9037,21.26,20.25,3.78,4.17
3996068,1.9050,21.29,19.25,3.78,4.17
3996568,1.8963,21.89,19.25,3.78,4.17
3997068,1.9037,21.26,19.25,3.76,4.17
3997569,1.9050,21.23,19.25,3.76,4.17
3998068,1.9062,21.30,20.75,3.76,4.17
3998569,1.9037,21.28,20.75,3.76,4.17
3999068,1.9037,21.28,20.75,3.78,4.17
3999569,1.9075,21.20,20.75,3.78,4.17
4000068,1.9062,21.24,21.00,3.78,4.17
4000568,1.8975,21.85,21.00,3.78,4.17
4001068,1.9050,21.21,21.00,3.78,4.17
4001569,1.9037,21.20,21.00,3.78,4.17
4002068,1.8975,21.87,20.75,3.78,4.17
4002569,1.9050,21.23,20.75,3.78,4.17
4003068,1.9050,21.27,20.75,3.78,4.17
4003569,1.9013,21.27,20.75,3.78,4.17
4004068,1.9062,21.21,20.75,3.78,4.17
4004568,1.9062,21.19,19.75,3.78,4.17
4005068,1.9050,21.19,19.75,3.76,4.17
4005568,1.9062,21.19,19.75,3.76,4.17
4006068,1.9050,21.29,19.75,3.76,4.17
4006568,1.9050,21.21,20.75,3.76,4.17
4007068,1.9050,21.27,20.75,3.78,4.17
4007568,1.8987,21.50,20.75,3.78,4.17
4008068,1.9050,21.17,20.75,3.78,4.17
4008568,1.9050,21.27,20.75,3.78,4.17
4009068,1.9062,21.17,20.75,3.78,4.17
4009569,1.8975,21.90,20.75,3.78,4.17
4010068,1.9062,21.19,20.75,3.78,4.17
4010569,1.9062,21.20,21.25,3.78,4.17
4011068,1.9050,21.23,21.25,3.78,4.17
4011568,1.9025,21.52,21.25,3.78,4.17
4012068,1.9050,21.17,21.25,3.78,4.17
4012569,1.8975,21.85,21.00,3.78,4.17
4013068,1.9062,21.21,21.00,3.78,4.17
4013569,1.8963,21.87,21.00,3.78,4.17
4014068,1.9050,21.21,21.00,3.78,4.17
4014568,1.9050,21.21,21.00,3.78,4.17
4015068,1.9050,21.22,19.50,3.76,4.17
4015568,1.9037,21.67,19.50,3.76,4.17
4016068,1.9062,21.15,19.50,3.76,4.17
4016574,1.8975,21.87,19.50,3.76,4.17
4017068,1.9062,21.15,21.00,3.78,4.17
4017568,1.9062,21.18,21.00,3.78,4.17
4018068,1.8975,21.85,21.00,3.78,4.17
4018568,1.9062,21.19,21.00,3.78,4.17
4019068,1.9050,21.17,21.00,3.78,4.17
4019569,1.8975,21.85,21.00,3.78,4.17
4020071,1.9075,21.20,21.00,3.78,4.17
4020572,1.9050,21.22,21.00,3.78,4.17
4021081,1.8987,21.18,21.00,3.78,4.17
4021580,1.9062,21.19,21.00,3.78,4.17
4022080,1.8987,21.83,21.00,3.78,4.17
4022581,1.9062,21.18,21.00,3.78,4.17
4023080,1.9062,21.15,21.25,3.78,4.17
4023580,1.8975,21.85,21.25,3.78,4.17
4024080,1.9062,21.18,21.25,3.78,4.17
4024581,1.9062,21.22,21.25,3.78,4.17
4025080,1.8975,21.58,21.25,3.78,4.17
4025581,1.9062,21.15,20.25,3.78,4.17
4026080,1.9050,21.19,20.25,3.78,4.17
4026581,1.9050,21.21,20.25,3.78,4.17
4027080,1.9050,21.21,20.25,3.78,4.17
4027580,1.8975,21.87,21.00,3.78,4.17
4028080,1.9062,21.21,21.00,3.78,4.17
4028581,1.8950,22.15,21.00,3.78,4.17
4029080,1.8987,21.81,21.00,3.78,4.17
4029580,1.9062,21.15,20.00,3.78,4.17
4030080,1.9050,21.23,20.00,3.78,4.17
4030581,1.9062,21.18,20.00,3.78,4.17
4031080,1.9037,21.23,20.00,3.78,4.17
4031581,1.8913,22.03,21.00,3.78,4.17
4032080,1.9050,21.19,21.00,3.78,4.17
4032580,1.9050,21.19,21.00,3.78,4.17
4033080,1.9037,21.52,21.00,3.78,4.17
4033581,1.9050,21.31,20.75,3.78,4.17
4034080,1.9037,21.21,20.75,3.78,4.17
4034581,1.9050,21.19,20.75,3.78,4.17
4035080,1.9062,21.17,20.75,3.78,4.17
4035581,1.8913,22.17,20.75,3.78,4.17
4036080,1.9062,21.17,19.75,3.78,4.17
4036581,1.9062,21.12,19.75,3.78,4.17
4037080,1.9050,21.42,19.75,3.78,4.17
4037581,1.9062,21.19,19.75,3.76,4.17
4038080,1.9062,21.19,20.75,3.76,4.17
4038580,1.9062,21.17,20.75,3.76,4.17
4039080,1.9050,21.16,20.75,3.76,4.17
4039581,1.8963,21.90,20.75,3.78,4.17
4040080,1.9050,21.23,21.25,3.78,4.17
4040580,1.9075,21.17,21.25,3.78,4.17
4041080,1.9075,21.23,21.25,3.78,4.17
4041580,1.9062,21.17,21.25,3.76,4.17
4042080,1.9062,21.19,21.00,3.76,4.17
4042580,1.9062,21.19,21.00,3.76,4.17
4043080,1.9050,21.20,21.00,3.76,4.17
4043580,1.9062,21.19,21.00,3.78,4.17
4044080,1.9062,21.19,21.00,3.78,4.17
4044580,1.9062,21.15,20.00,3.78,4.17
4045080,1.9062,21.17,20.00,3.78,4.17
4045580,1.9062,21.15,20.00,3.76,4.17
4046080,1.9050,21.17,20.00,3.76,4.17
4046581,1.8987,21.37,20.75,3.76,4.17
4047080,1.9062,21.15,20.75,3.76,4.17
4047581,1.8987,21.93,20.75,3.76,4.17
4048080,1.9050,21.21,20.75,3.76,4.17
4048582,1.9062,21.18,21.25,3.76,4.17
4049082,1.8987,21.83,21.25,3.76,4.17
4049590,1.9062,21.16,21.25,3.78,4.17
4050089,1.9062,21.15,21.25,3.78,4.17
4050589,1.8987,21.81,21.25,3.78,4.17
4051089,1.8975,21.83,21.25,3.78,4.17
4051589,1.9062,21.56,21.25,3.78,4.17
4052089,1.9075,21.17,21.25,3.78,4.17
4052589,1.9050,21.20,21.25,3.78,4.17
4053089,1.9050,21.21,21.25,3.78,4.17
4053590,1.9037,21.20,21.25,3.78,4.17
4054089,1.9050,21.20,21.25,3.78,4.17
4054589,1.9037,21.41,21.25,3.78,4.17
4055089,1.9062,21.17,20.50,3.78,4.17
4055590,1.9037,21.24,20.50,3.78,4.17
4056089,1.9050,21.15,20.50,3.78,4.17
4056590,1.9050,21.25,20.50,3.78,4.17
4057089,1.8987,21.83,20.75,3.78,4.17
4057590,1.9062,21.21,20.75,3.78,4.17
4058089,1.9037,21.22,20.75,3.78,4.17
4058590,1.9037,21.65,20.75,3.78,4.17
4059089,1.9050,21.21,19.00,3.78,4.17
4059595,1.8950,21.94,19.00,3.78,4.17
4060089,1.9050,21.25,19.00,3.78,4.17
4060589,1.9050,21.24,19.00,3.78,4.17
4061089,1.9050,21.27,20.75,3.78,4.17
4061590,1.9037,21.27,20.75,3.78,4.17
4062089,1.9062,21.25,20.75,3.78,4.17
4062590,1.8963,22.07,20.75,3.78,4.17
4063089,1.9062,21.19,21.00,3.78,4.17
4063589,1.8975,21.92,21.00,3.78,4.17
4064089,1.9000,21.39,21.00,3.78,4.17
4064589,1.9062,21.21,21.00,3.78,4.17
4065089,1.9050,21.21,21.00,3.78,4.17
4065589,1.9062,21.21,19.75,3.78,4.17
4066089,1.9062,21.19,19.75,3.78,4.17
4066589,1.9062,21.20,19.75,3.78,4.17
4067089,1.9050,21.24,19.75,3.78,4.17
4067589,1.9050,21.25,21.00,3.78,4.17
4068089,1.8975,21.66,21.00,3.78,4.17
4068589,1.9050,21.22,21.00,3.78,4.17
4069089,1.9050,21.18,21.00,3.78,4.17
4069590,1.9062,21.21,20.50,3.78,4.17
4070089,1.9050,21.18,20.50,3.78,4.17
4070590,1.9037,21.25,20.50,3.78,4.17
4071089,1.9050,21.16,20.50,3.78,4.17
4071589,1.9062,21.27,20.75,3.78,4.17
4072089,1.9050,21.39,20.75,3.78,4.05
4072590,1.9050,21.22,20.75,3.78,4.05
4073089,1.9062,21.17,20.75,3.78,4.05
4073590,1.9050,21.23,20.75,3.78,4.05
4074089,1.9050,21.15,20.75,3.78,3.95
4074589,1.8975,21.85,20.75,3.78,3.95
4075089,1.9062,21.25,20.75,3.78,3.95
4075589,1.9062,21.14,20.75,3.78,3.95
4076089,1.9062,21.20,19.75,3.78,3.92
