Time_ms,Volt,Enepaq_T,Ambient_T,UPS_V,Module_V
1947138,1.9062,21.15,20.50,3.75,4.17
1947630,1.9062,21.15,20.50,3.75,4.17
1948130,1.9075,21.04,20.50,3.75,4.17
1948631,1.9062,21.15,19.50,3.75,4.17
1949130,1.9075,21.04,19.50,3.75,4.17
1949630,1.9075,21.04,19.50,3.75,4.17
1950130,1.9062,21.15,19.50,3.75,4.17
1950631,1.9037,21.35,20.00,3.75,4.17
1951137,1.9062,21.15,20.00,3.75,4.17
1951631,1.9062,21.15,20.00,3.75,4.17
1952136,1.9075,21.04,20.00,3.75,4.17
1952631,1.9013,21.56,20.50,3.75,4.17
1953131,1.9075,21.04,20.50,3.75,4.17
1953632,1.9062,21.15,20.50,3.75,4.17
1954133,1.9025,21.46,20.50,3.75,4.17
1954632,1.9075,21.19,20.50,3.75,4.17
1955139,1.9050,21.25,20.50,3.75,4.17
1955633,1.9062,21.15,20.50,3.75,4.17
1956133,1.9075,21.04,20.50,3.75,4.17
1956632,1.9075,21.04,20.50,3.75,4.17
1957133,1.9062,21.15,20.00,3.75,4.17
1957632,1.9075,21.04,20.00,3.75,4.17
1958132,1.9075,21.04,20.00,3.75,4.17
1958633,1.9075,21.04,20.00,3.75,4.17
1959133,1.9050,21.25,18.50,3.73,4.17
1959632,1.9075,21.04,18.50,3.73,4.17
1960133,1.9075,21.04,18.50,3.73,4.17
1960633,1.9075,21.04,18.50,3.73,4.17
1961133,1.9062,21.15,20.25,3.75,4.17
1961632,1.9062,21.15,20.25,3.75,4.17
1962133,1.9075,21.04,20.25,3.75,4.17
1962633,1.9075,21.04,20.25,3.75,4.17
1963133,1.9062,21.15,20.25,3.75,4.17
1963633,1.9013,21.56,20.25,3.75,4.17
1964133,1.9075,21.04,20.25,3.75,4.17
1964632,1.9075,21.04,20.25,3.75,4.17
1965133,1.9062,21.15,19.75,3.75,4.17
1965632,1.9025,21.46,19.75,3.75,4.17
1966132,1.9075,21.04,19.75,3.75,4.17
1966633,1.9062,21.15,19.75,3.75,4.17
1967133,1.9050,21.25,19.75,3.73,4.17
1967632,1.9062,21.15,19.00,3.73,4.17
1968133,1.9075,21.04,19.00,3.73,4.17
1968632,1.9075,21.04,19.00,3.73,4.17
1969133,1.9062,21.15,19.00,3.73,4.17
1969632,1.9062,21.15,19.75,3.73,4.17
1970132,1.9075,21.04,19.75,3.73,4.17
1970633,1.9050,21.25,19.75,3.73,4.17
1971134,1.9062,21.17,19.75,3.75,4.17
1971633,1.9050,21.25,20.50,3.75,4.17
1972139,1.9075,21.04,20.50,3.75,4.17
1972633,1.9075,21.04,20.50,3.75,4.17
1973133,1.9037,21.35,20.50,3.75,4.17
1973632,1.9062,21.15,20.25,3.75,4.17
1974132,1.9075,21.04,20.25,3.75,4.17
1974633,1.9037,21.35,20.25,3.75,4.17
1975149,1.9075,21.04,20.25,3.73,4.17
1975648,1.9037,21.35,20.75,3.73,4.17
1976148,1.9037,21.35,20.75,3.73,4.17
1976648,1.9075,21.04,20.75,3.73,4.17
1977148,1.9037,21.35,20.75,3.73,4.17
1977647,1.9062,21.15,20.75,3.75,4.17
1978153,1.9062,21.15,19.25,3.75,4.17
1978648,1.9025,21.46,19.25,3.75,4.17
1979148,1.9075,21.04,19.25,3.75,4.17
1979647,1.9037,21.35,19.25,3.75,4.17
1980148,1.9062,21.15,20.75,3.75,4.17
1980647,1.9075,21.04,20.75,3.75,4.17
1981148,1.9037,21.35,20.75,3.75,4.17
1981647,1.9025,21.46,20.75,3.73,4.17
1982154,1.9062,21.15,20.25,3.73,4.17
1982647,1.9050,21.25,20.25,3.73,4.17
1983148,1.9075,21.04,20.25,3.73,4.17
1983647,1.9075,21.12,20.25,3.75,4.17
1984148,1.9062,21.15,20.75,3.75,4.17
1984647,1.9062,21.15,20.75,3.75,4.17
1985148,1.9025,21.46,20.75,3.75,4.17
1985648,1.9050,21.25,20.75,3.75,4.17
1986154,1.9062,21.15,20.25,3.75,4.17
1986647,1.9025,21.46,20.25,3.75,4.17
1987148,1.9062,21.15,20.25,3.75,4.17
1987647,1.9062,21.15,20.25,3.75,4.17
1988148,1.9062,21.15,20.25,3.75,4.17
1988647,1.9062,21.15,18.75,3.75,4.17
1989148,1.9037,21.35,18.75,3.75,4.17
1989647,1.9037,21.35,18.75,3.73,4.17
1990153,1.9062,21.15,18.75,3.73,4.17
1990647,1.9050,21.25,20.00,3.73,4.17
1991148,1.9062,21.15,20.00,3.73,4.17
1991648,1.9050,21.25,20.00,3.73,4.17
1992148,1.9062,21.15,20.00,3.73,4.17
1992647,1.9062,21.15,20.25,3.73,4.17
1993148,1.9037,21.35,20.25,3.73,4.17
1993647,1.9050,21.25,20.25,3.75,4.17
1994161,1.9050,21.25,20.25,3.75,4.17
1994654,1.9013,21.56,20.50,3.75,4.17
1995160,1.9037,21.35,20.50,3.75,4.17
1995654,1.9062,21.15,20.50,3.75,4.17
1996155,1.9062,21.15,20.50,3.75,4.17
1996655,1.9062,21.15,20.25,3.75,4.17
1997155,1.9037,21.35,20.25,3.75,4.17
1997654,1.9062,21.15,20.25,3.73,4.17
1998155,1.9013,21.50,20.25,3.73,4.17
1998654,1.9000,21.67,20.25,3.73,4.17
1999161,1.9062,21.15,19.00,3.73,4.17
1999654,1.9037,21.35,19.00,3.75,4.17
2000160,1.9025,21.46,19.00,3.75,4.17
2000655,1.9013,21.56,19.00,3.75,4.17
2001155,1.9013,21.56,20.25,3.75,4.17
2001654,1.9075,21.04,20.25,3.75,4.17
2002155,1.9013,21.56,20.25,3.75,4.17
2002654,1.9025,21.46,20.25,3.75,4.17
2003155,1.9062,21.15,20.50,3.75,4.17
2003661,1.9013,21.56,20.50,3.75,4.17
2004161,1.9050,21.25,20.50,3.75,4.17
2004661,1.9062,21.15,20.50,3.75,4.17
2005161,1.9037,21.35,20.00,3.75,4.17
2005660,1.9050,21.25,20.00,3.75,4.17
2006160,1.9075,21.04,20.00,3.75,4.17
2006661,1.9000,21.67,20.00,3.75,4.17
2007161,1.8987,21.77,20.25,3.75,4.17
2007660,1.9062,21.15,20.25,3.75,4.17
2008161,1.8987,21.77,20.25,3.73,4.17
2008661,1.9013,21.56,20.25,3.73,4.17
2009160,1.9037,21.35,20.25,3.73,4.17
2009661,1.9013,21.56,19.25,3.73,4.17
2010160,1.9075,21.04,19.25,3.75,4.17
2010661,1.8975,21.87,19.25,3.75,4.17
2011161,1.9037,21.35,19.25,3.75,4.17
2011661,1.9037,21.35,20.25,3.75,4.17
2012161,1.9037,21.35,20.25,3.75,4.17
2012661,1.9050,21.22,20.25,3.75,4.17
2013165,1.9050,21.25,20.25,3.75,4.17
2013661,1.9050,21.25,20.00,3.75,4.17
2014160,1.9075,21.04,20.00,3.75,4.17
2014661,1.9037,21.35,20.00,3.75,4.17
2015161,1.9062,21.15,20.00,3.75,4.17
2015661,1.9062,21.15,20.25,3.75,4.17
2016161,1.9037,21.35,20.25,3.75,4.17
2016661,1.9062,21.15,20.25,3.75,4.17
2017161,1.9062,21.15,20.25,3.75,4.17
2017661,1.9037,21.35,20.25,3.75,4.17
2018161,1.9062,21.15,20.25,3.75,4.17
2018661,1.9013,21.56,20.25,3.75,4.17
2019161,1.9037,21.35,20.25,3.75,4.17
2019660,1.9025,21.46,20.25,3.75,4.17
2020161,1.9037,21.35,19.00,3.73,4.17
2020661,1.9075,21.04,19.00,3.73,4.17
2021166,1.9062,21.15,19.00,3.73,4.17
2021661,1.9037,21.35,19.00,3.73,4.17
2022161,1.9062,21.15,20.00,3.75,4.17
2022660,1.9062,21.15,20.00,3.75,4.17
2023161,1.9062,21.15,20.00,3.75,4.17
2023661,1.9062,21.15,20.00,3.75,4.17
2024161,1.9050,21.25,20.50,3.73,4.17
2024661,1.9062,21.15,20.50,3.73,4.17
2025167,1.9062,21.15,20.50,3.73,4.17
2025661,1.9037,21.35,20.50,3.73,4.17
2026166,1.9037,21.35,20.25,3.75,4.17
2026661,1.9062,21.15,20.25,3.75,4.17
2027161,1.9037,21.18,20.25,3.75,4.17
2027660,1.9037,21.35,20.25,3.75,4.17
2028161,1.9050,21.25,20.25,3.75,4.17
2028660,1.9075,21.04,20.25,3.75,4.17
2029167,1.9062,21.15,20.25,3.75,4.17
2029661,1.9037,21.35,20.25,3.75,4.17
2030162,1.9062,21.15,20.25,3.73,4.17
2030661,1.9062,21.15,20.25,3.73,4.17
2031161,1.9037,21.35,20.25,3.73,4.17
2031661,1.9062,21.15,20.25,3.73,4.17
2032177,1.9050,21.25,20.25,3.75,4.17
2032676,1.9075,21.04,20.50,3.75,4.17
2033176,1.9062,21.15,20.50,3.75,4.17
2033678,1.9000,21.67,20.50,3.75,4.17
2034178,1.9062,21.15,20.50,3.75,4.17
2034678,1.9050,21.25,20.50,3.75,4.17
2035178,1.9037,21.35,20.50,3.75,4.17
2035677,1.9062,21.15,20.50,3.75,4.17
2036178,1.9050,21.25,20.50,3.75,4.17
2036678,1.9075,21.04,20.25,3.75,4.17
2037180,1.9062,21.15,20.25,3.75,4.17
2037677,1.9037,21.35,20.25,3.75,4.17
2038178,1.9062,21.15,20.25,3.75,4.17
2038677,1.9025,21.46,20.25,3.73,4.17
2039178,1.9037,21.35,19.50,3.73,4.17
2039677,1.9062,21.15,19.50,3.73,4.17
2040178,1.9050,21.25,19.50,3.73,4.17
2040677,1.9050,21.25,19.50,3.75,4.17
2041178,1.9062,21.15,20.25,3.75,4.17
2041677,1.9062,21.15,20.25,3.75,4.17
2042184,1.9062,21.15,20.25,3.75,4.17
2042677,1.9025,21.46,20.25,3.75,4.17
2043178,1.9037,21.35,20.25,3.75,4.17
2043677,1.9062,21.15,20.25,3.75,4.17
2044178,1.9062,21.15,20.25,3.75,4.17
2044677,1.9062,21.15,20.25,3.75,4.17
2045178,1.9075,21.04,20.00,3.75,4.17
2045677,1.9037,21.35,20.00,3.75,4.17
2046178,1.9062,21.15,20.00,3.75,4.17
2046677,1.9037,21.35,20.00,3.73,4.17
2047178,1.9050,21.25,20.50,3.73,4.17
2047677,1.9062,21.15,20.50,3.73,4.17
2048179,1.9062,21.15,20.50,3.73,4.17
2048677,1.9062,21.15,20.50,3.75,4.17
2049178,1.9000,21.67,20.50,3.75,4.17
2049677,1.9062,21.15,19.00,3.75,4.17
2050178,1.9062,21.15,19.00,3.75,4.17
2050677,1.9037,21.35,19.00,3.75,4.17
2051178,1.9050,21.25,19.00,3.75,4.17
2051678,1.9050,21.25,20.25,3.75,4.17
2052183,1.9037,21.35,20.25,3.75,4.17
2052678,1.9037,21.35,20.25,3.75,4.17
2053178,1.9062,21.15,20.25,3.75,4.17
2053678,1.9062,21.15,20.50,3.75,4.17
2054178,1.9062,21.15,20.50,3.75,4.17
2054687,1.9062,21.15,20.50,3.75,4.17
2055187,1.9050,21.25,20.50,3.75,4.17
2055686,1.9013,21.56,20.75,3.75,4.17
2056192,1.9062,21.15,20.75,3.75,4.17
2056687,1.9025,21.46,20.75,3.75,4.17
2057187,1.9062,21.15,20.75,3.75,4.17
2057686,1.9062,21.15,20.25,3.75,4.17
2058187,1.9025,21.46,20.25,3.75,4.17
2058686,1.9037,21.35,20.25,3.75,4.17
2059187,1.9050,21.25,20.25,3.75,4.17
2059686,1.9062,21.15,20.25,3.75,4.17
2060192,1.9062,21.15,19.25,3.75,4.17
2060687,1.9025,21.46,19.25,3.75,4.17
2061187,1.9062,21.15,19.25,3.75,4.17
2061687,1.9062,21.15,19.25,3.75,4.17
2062187,1.8987,21.77,20.75,3.75,4.17
2062686,1.9062,21.15,20.75,3.75,4.17
2063187,1.9050,21.25,20.75,3.75,4.17
2063687,1.9062,21.15,20.75,3.75,4.17
2064193,1.9062,21.15,20.75,3.75,4.17
2064686,1.9037,21.35,20.75,3.75,4.17
2065192,1.9062,21.15,20.75,3.75,4.17
2065687,1.9050,21.25,20.75,3.75,4.17
2066188,1.9037,21.35,20.25,3.75,4.17
2066686,1.9025,21.46,20.25,3.75,4.17
2067187,1.9037,21.35,20.25,3.75,4.17
2067686,1.9062,21.15,20.25,3.75,4.17
2068192,1.9062,21.15,18.75,3.75,4.17
2068687,1.9025,21.46,18.75,3.75,4.17
2069187,1.9062,21.15,18.75,3.75,4.17
2069686,1.9050,21.25,18.75,3.75,4.17
2070187,1.9037,21.35,18.75,3.75,4.17
2070686,1.9050,21.29,19.00,3.75,4.17
2071187,1.9037,21.35,19.00,3.72,4.17
2071686,1.9050,21.25,19.00,3.72,4.17
2072192,1.9062,21.15,19.00,3.72,4.17
2072687,1.9037,21.35,20.25,3.72,4.17
2073187,1.9050,21.25,20.25,3.75,4.17
2073686,1.9062,21.15,20.25,3.75,4.17
2074187,1.9025,21.46,20.25,3.75,4.17
2074686,1.9062,21.15,20.25,3.75,4.17
2075187,1.9062,21.15,20.25,3.75,4.17
2075687,1.9062,21.15,20.25,3.75,4.17
2076191,1.9062,21.15,20.25,3.75,4.17
2076689,1.9062,21.15,20.25,3.75,4.17
2077189,1.9062,21.15,20.25,3.75,4.17
2077688,1.9062,21.15,20.25,3.75,4.17
2078189,1.9037,21.35,20.25,3.75,4.17
2078688,1.9037,21.35,20.00,3.75,4.17
2079189,1.9037,21.35,20.00,3.72,4.17
2079688,1.9050,21.25,20.00,3.72,4.17
2080194,1.9062,21.15,20.00,3.72,4.17
2080689,1.9062,21.15,20.00,3.72,4.17
2081189,1.9050,21.25,19.00,3.72,4.17
2081688,1.9050,21.25,19.00,3.72,4.17
2082189,1.9025,21.46,19.00,3.72,4.17
2082688,1.9062,21.15,19.00,3.72,4.17
2083200,1.9037,21.16,20.75,3.75,4.17
2083699,1.9050,21.25,20.75,3.75,4.17
2084200,1.9062,21.15,20.75,3.75,4.17
2084700,1.9062,21.15,20.75,3.75,4.17
2085201,1.9025,21.46,20.50,3.75,4.17
2085699,1.9025,21.46,20.50,3.72,4.17
2086200,1.9037,21.35,20.50,3.72,4.17
2086699,1.9062,21.15,20.50,3.72,4.17
2087200,1.9037,21.35,20.75,3.72,4.17
2087700,1.9062,21.15,20.75,3.75,4.17
2088199,1.9050,21.25,20.75,3.75,4.17
2088700,1.9050,21.25,20.75,3.75,4.17
2089200,1.9037,21.35,20.25,3.75,4.17
2089700,1.9013,21.56,20.25,3.75,4.17
2090200,1.9025,21.46,20.25,3.75,4.17
2090700,1.9062,21.15,20.25,3.75,4.17
2091200,1.9000,21.67,20.25,3.75,4.17
2091699,1.9062,21.15,19.00,3.75,4.17
2092200,1.9062,21.15,19.00,3.75,4.17
2092699,1.9062,21.15,19.00,3.75,4.17
2093200,1.9037,21.35,19.00,3.75,4.17
2093700,1.9050,21.25,20.75,3.75,4.17
2094200,1.9050,21.25,20.75,3.75,4.17
2094700,1.9050,21.25,20.75,3.75,4.17
2095200,1.8987,21.77,20.75,3.75,4.17
2095700,1.9062,21.15,20.00,3.75,4.17
2096200,1.9062,21.15,20.00,3.75,4.17
2096699,1.9050,21.25,20.00,3.75,4.17
2097200,1.9037,21.35,20.00,3.75,4.17
2097699,1.9050,21.25,18.25,3.75,4.17
2098200,1.9025,21.46,18.25,3.75,4.17
2098699,1.9062,21.15,18.25,3.75,4.17
2099200,1.9037,21.35,18.25,3.75,4.17
2099700,1.9037,21.28,20.25,3.75,4.17
2100200,1.9013,21.56,20.25,3.75,4.17
2100699,1.9062,21.15,20.25,3.75,4.17
2101200,1.9037,21.35,20.25,3.75,4.17
2101699,1.9037,21.35,20.25,3.75,4.17
2102200,1.9062,21.15,19.25,3.75,4.17
2102699,1.9000,21.67,19.25,3.75,4.17
2103205,1.9062,21.15,19.25,3.75,4.17
2103700,1.9062,21.15,19.25,3.75,4.17
2104200,1.9050,21.25,20.75,3.75,4.17
2104700,1.9050,21.25,20.75,3.75,4.17
2105200,1.9037,21.35,20.75,3.75,4.17
2105700,1.9062,21.15,20.75,3.75,4.17
2106200,1.9000,21.67,20.75,3.75,4.17
2106699,1.9050,21.25,20.75,3.75,4.17
2107206,1.9062,21.15,20.75,3.75,4.17
2107700,1.9062,21.15,20.75,3.75,4.17
2108200,1.9050,21.25,20.50,3.75,4.17
2108700,1.9062,21.15,20.50,3.75,4.17
2109200,1.9050,21.25,20.50,3.75,4.17
2109699,1.9062,21.17,20.50,3.72,4.17
2110200,1.9050,21.25,20.50,3.72,4.17
2110705,1.9050,21.25,20.50,3.72,4.17
2111212,1.9062,21.15,20.50,3.72,4.17
2111715,1.9062,21.15,20.50,3.75,4.17
2112221,1.9037,21.31,20.50,3.75,4.17
2112714,1.9025,21.46,19.00,3.75,4.17
2113215,1.9037,21.35,19.00,3.75,4.17
2113714,1.9062,21.15,19.00,3.75,4.17
2114215,1.9037,21.35,19.00,3.75,4.17
2114714,1.9050,21.25,20.25,3.75,4.17
2115215,1.9013,21.56,20.25,3.75,4.17
2115714,1.9062,21.15,20.25,3.75,4.17
2116215,1.9037,21.35,20.25,3.75,4.17
2116715,1.9050,21.25,20.25,3.75,4.17
2117215,1.9050,21.25,20.25,3.75,4.17
2117714,1.9062,21.15,20.25,3.75,4.17
2118215,1.9037,21.35,20.25,3.72,4.17
2118714,1.9050,21.25,20.50,3.72,4.17
2119215,1.9050,21.25,20.50,3.72,4.17
2119714,1.9025,21.46,20.50,3.72,4.17
2120215,1.9037,21.35,20.50,3.75,4.17
2120715,1.9037,21.35,20.25,3.75,4.17
2121215,1.9062,21.15,20.25,3.75,4.17
2121714,1.9062,21.15,20.25,3.75,4.17
2122215,1.9025,21.46,20.25,3.73,4.09
2122714,1.9050,21.25,20.25,3.73,4.09
2123215,1.9050,21.25,19.00,3.73,4.09
2123714,1.9037,21.35,19.00,3.73,4.09
2124215,1.9037,21.35,19.00,3.75,3.94
2124714,1.9050,21.25,19.00,3.75,3.94
2125215,1.9062,21.15,20.00,3.75,3.94
2125714,1.9062,21.15,20.00,3.75,3.94
2126215,1.9037,21.35,20.00,3.75,3.92
2126714,1.9037,21.35,20.00,3.75,3.92
2127215,1.9050,21.25,20.25,3.75,3.92
2127714,1.9062,21.15,20.25,3.75,3.92
2128215,1.9037,21.35,20.25,3.72,3.90
2128714,1.9050,21.28,20.25,3.72,3.90
2129215,1.9050,21.25,18.75,3.72,3.90
2129714,1.9050,21.25,18.75,3.72,3.90
2130215,1.8987,21.77,18.75,3.72,3.89
2130714,1.9050,21.25,18.75,3.72,3.89
2131215,1.9050,21.25,20.50,3.72,3.89
2131714,1.9050,21.25,20.50,3.72,3.89
2132215,1.9037,21.35,20.50,3.73,3.89
2132714,1.9050,21.25,20.50,3.73,3.89
2133214,1.9037,21.35,20.50,3.73,3.89
2133715,1.9037,21.35,19.25,3.73,3.89
2134237,1.9013,21.56,19.25,3.75,3.88
2134736,1.9037,21.35,19.25,3.75,3.88
2135237,1.9037,21.35,19.25,3.75,3.88
2135737,1.9025,21.46,20.25,3.75,3.88
2136237,1.9025,21.46,20.25,3.75,3.88
2136736,1.9037,21.35,20.25,3.75,3.87
2137237,1.9000,21.67,20.25,3.75,3.87
2137736,1.9025,21.46,20.50,3.75,3.87
2138237,1.8975,21.87,20.50,3.75,3.87
2138736,1.9025,21.46,20.50,3.75,3.87
2139237,1.9013,21.51,20.50,3.75,3.87
2139737,1.9013,21.56,20.00,3.75,3.87
2140237,1.9025,21.46,20.00,3.75,3.87
2140736,1.9025,21.46,20.00,3.73,3.86
