Time_ms,Volt,Enepaq_T,Ambient_T,UPS_V,Module_V
18640974,1.9037,21.35,21.00,3.49,4.16
18641468,1.8987,21.77,21.00,3.46,4.16
18641968,1.9013,21.56,21.00,3.46,4.16
18642468,1.9013,21.56,21.00,3.46,4.16
18642969,1.8975,21.87,21.00,3.46,4.16
18643468,1.8987,21.77,21.00,3.48,4.16
18643969,1.9000,21.67,21.00,3.48,4.16
18644469,1.9025,21.46,21.00,3.48,4.16
18644969,1.9013,21.56,21.00,3.48,4.16
18645469,1.8975,21.87,21.00,3.48,4.16
18645969,1.8963,21.98,21.00,3.48,4.16
18646468,1.9013,21.56,20.75,3.48,4.16
18646969,1.9000,21.59,20.75,3.48,4.16
18647469,1.9013,21.56,20.75,3.48,4.16
18647969,1.9000,21.67,20.75,3.48,4.16
18648468,1.9025,21.46,21.00,3.48,4.16
18648969,1.8987,21.77,21.00,3.48,4.16
18649469,1.9013,21.56,21.00,3.48,4.16
18649969,1.8987,21.77,21.00,3.48,4.16
18650468,1.9000,21.67,21.00,3.48,4.16
18650969,1.9000,21.67,19.75,3.48,4.16
18651469,1.9013,21.56,19.75,3.48,4.16
18651969,1.9013,21.56,19.75,3.48,4.16
18652469,1.9025,21.46,19.75,3.48,4.16
18652969,1.8963,21.98,21.25,3.48,4.16
18653469,1.9013,21.56,21.25,3.48,4.16
18653969,1.8987,21.77,21.25,3.48,4.16
18654468,1.9025,21.46,21.25,3.48,4.16
18654969,1.8987,21.77,21.00,3.48,4.16
18655468,1.8937,22.19,21.00,3.48,4.16
18655969,1.9013,21.56,21.00,3.48,4.16
18656468,1.8987,21.77,21.00,3.48,4.16
18656969,1.8987,21.77,20.75,3.48,4.16
18657468,1.9013,21.56,20.75,3.48,4.16
18657969,1.8987,21.77,20.75,3.48,4.16
18658469,1.9013,21.56,20.75,3.48,4.16
18658969,1.8987,21.77,21.00,3.48,4.16
18659476,1.9013,21.56,21.00,3.48,4.16
18659976,1.9013,21.56,21.00,3.48,4.16
18660475,1.9013,21.56,21.00,3.48,4.16
18660977,1.8987,21.77,21.00,3.48,4.16
18661475,1.9013,21.72,19.50,3.48,4.16
