Time_ms,Volt,Enepaq_T,Ambient_T,UPS_V,Module_V
739122,1.8875,22.71,20.50,3.82,4.17
739619,1.8875,22.71,20.50,3.82,4.17
740119,1.8913,22.40,20.25,3.86,4.17
740619,1.8900,22.50,20.25,3.86,4.17
741119,1.8913,22.40,20.25,3.86,4.17
741620,1.8825,23.12,20.25,3.86,4.17
742119,1.8913,22.40,20.25,3.86,4.17
742619,1.8850,22.92,19.50,3.86,4.17
743119,1.8887,22.60,19.50,3.86,4.17
743620,1.8925,22.29,19.50,3.86,4.17
744119,1.8913,22.40,19.50,3.82,4.17
744619,1.8913,22.40,20.75,3.82,4.17
745119,1.8787,23.44,20.75,3.82,4.17
745619,1.8837,23.02,20.75,3.82,4.17
746119,1.8913,22.40,20.75,3.86,4.17
746620,1.8887,22.48,20.25,3.86,4.17
747119,1.8887,22.60,20.25,3.86,4.17
747620,1.8863,22.81,20.25,3.86,4.17
748119,1.8925,22.29,20.25,3.86,4.17
748619,1.8913,22.40,20.00,3.86,4.17
749120,1.8837,23.02,20.00,3.86,4.17
749624,1.8925,22.29,20.00,3.86,4.17
750119,1.8887,22.60,20.00,3.86,4.17
750620,1.8887,22.60,20.00,3.86,4.17
751119,1.8887,22.60,19.75,3.86,4.17
751619,1.8925,22.29,19.75,3.86,4.17
752119,1.8913,22.40,19.75,3.86,4.17
752619,1.8913,22.40,19.75,3.86,4.17
753119,1.8800,23.33,19.50,3.86,4.17
753624,1.8913,22.40,19.50,3.86,4.17
754119,1.8913,22.40,19.50,3.86,4.17
754619,1.8900,22.50,19.50,3.86,4.17
755119,1.8887,22.60,20.50,3.86,4.17
755620,1.8863,22.81,20.50,3.86,4.17
756119,1.8863,22.81,20.50,3.86,4.17
756619,1.8925,22.29,20.50,3.86,4.17
757120,1.8863,22.81,19.00,3.86,4.17
757621,1.8913,22.40,19.00,3.86,4.17
758119,1.8913,22.40,19.00,3.86,4.17
758620,1.8900,22.50,19.00,3.86,4.17
759119,1.8875,22.71,19.00,3.86,4.17
759619,1.8863,22.81,20.25,3.86,4.17
760119,1.8913,22.40,20.25,3.86,4.17
760619,1.8913,22.40,20.25,3.86,4.17
761119,1.8800,23.33,20.25,3.86,4.17
761620,1.8913,22.40,20.25,3.86,4.17
762119,1.8925,22.29,20.25,3.86,4.17
762619,1.8925,22.29,20.25,3.86,4.17
763121,1.8887,22.55,20.25,3.86,4.17
763620,1.8825,23.12,20.25,3.86,4.17
764150,1.8825,23.12,20.25,3.87,4.17
764655,1.8937,22.19,20.25,3.87,4.17
765149,1.8925,22.29,20.25,3.87,4.17
765650,1.8875,22.71,20.50,3.87,4.17
766149,1.8925,22.29,20.50,3.87,4.17
766649,1.8763,23.65,20.50,3.83,4.17
767149,1.8937,22.19,20.50,3.83,4.17
767650,1.8913,22.40,20.25,3.83,4.17
768149,1.8913,22.40,20.25,3.83,4.17
768656,1.8937,22.19,20.25,3.87,4.17
769149,1.8875,22.71,20.25,3.87,4.17
769650,1.8887,22.60,20.25,3.87,4.17
770149,1.8900,22.50,19.75,3.87,4.17
770649,1.8950,22.08,19.75,3.87,4.17
771149,1.8937,22.19,19.75,3.87,4.17
771650,1.8887,22.99,19.75,3.87,4.17
772149,1.8875,22.71,20.75,3.87,4.17
772656,1.8937,22.19,20.75,3.87,4.17
773149,1.8887,22.60,20.75,3.87,4.17
773649,1.8913,22.40,20.75,3.87,4.17
774149,1.8837,23.02,20.50,3.87,4.17
774650,1.8887,22.60,20.50,3.87,4.17
775157,1.8887,22.60,20.50,3.87,4.17
775657,1.8887,22.60,20.50,3.87,4.17
776157,1.8925,22.29,20.25,3.87,4.17
776659,1.8863,22.81,20.25,3.83,4.17
777157,1.8900,22.50,20.25,3.83,4.17
777657,1.8900,22.50,20.25,3.83,4.17
778157,1.8900,22.50,20.25,3.83,4.17
778658,1.8925,22.29,20.25,3.83,4.17
779158,1.8913,22.40,20.25,3.83,4.17
