Battery Model,Cell Size,Tested mAh,DC IR (mohm),Est WH,Ohm-Wh,Rated mAh,E-Score 5A,E-Score 10A,E-Score 15A,E-Score 20A,E-Score 30A,E-Score 40A,E-Score 50A,Rated CDR/TL,Estimated CDR/TL,Cell Mass,Cell Dimension
BAK H18650CAP,18650,2050,17.2,7.38,0.126936,2050,6.9,6.8,,6.2,,,,30A,18A,,
BAK N18650CNP,18650,2500,19.4,9,0.1746,2500,,8,,7.3,,,,30A,20A,,
BAK N18650COP,18650,2500,17.4,9,0.1566,2500,8.2,8.1,7.7,7.7,,,,30A,25A/30A,,
DLG INR18650-320,18650,2900,51.5,10.44,0.53766,3000,9.1,8.4,,,,,,6.4A,6.4A/9.6A,,
DMEGC 29E,18650,2900,43.3,10.44,0.452052,2900,9.2,,,,,,,5.8A,5.8A,,
Epoch 28B,18650,2750,16.3,9.9,0.16137,2800,9.1,9,,8.6,7.9,,,40A,25A/40A,,
EVE 20P,18650,2000,19.2,7.2,0.13824,2000,,6.8,6.3,6.2,,,,30A,20A,,
EVE 25P (no CCC),18650,2400,19.2,8.64,0.165888,2500,,7.7,7.2,7.1,,,,30A,20A,,
EVE 25P (w/ CCC),18650,2500,21,9,0.189,2500,8.3,8.1,7.5,7.3,,,,30A,20A,,
EVE 26V,18650,2550,31.7,9.18,0.291006,2550,8.4,,,,,,,7.5A,7.5A,,
EVE 29V,18650,2700,34.2,9.72,0.332424,2850,9,,,,,,,8.4A,8.4A,,
EVE 30P,18650,3000,16.8,10.8,0.18144,3000,10,9.8,9,9,,,,UNK/30A,20A/30A,,
EVE 30PL (w/ CCC),18650,3000,6.5,10.8,0.0702,3000,10.4,10.4,,10.3,9.8,9.6,,UNK/60A,45A/60A,,
EVE 33V (w/ CCC),18650,3000,34.3,10.8,0.37044,3200,10,9.5,,,,,,10A,10A,,
EVE 35V (w/ CCC),18650,3400,32.2,12.24,0.394128,3500,11,10.2,,,,,,10.2A,10.2A,,
LG HG2 (QR code),18650,2900,24,10.44,0.25056,3000,,9.6,8.8,8.6,,,,20A,17A,,
LG HJ2,18650,2950,16.7,10.62,0.177354,2950,9.4,9.3,8.6,8.6,,,,20A,15A/20A,,
LG M32,18650,3000,33.3,10.8,0.35964,3000,9.8,9.4,,,,,,UNK,7A/10A,,
LG MJ1,18650,3500,45.1,12.6,0.56826,3500,10.7,10,,,,,,10A,10A,,
