CellVoltage,SOE,SOC,JoulesUsed
4.18,1,1,0
4.1675,0.997655847,0.997999933,90.02101064
4.155,0.990644714,0.991999933,359.2650106
4.1425,0.987150161,0.989000334,493.4640552
4.13,0.979019334,0.982,805.7069729
4.1175,0.968597551,0.973,1205.927973
4.105,0.946662415,0.953999666,2048.2888
4.0925,0.93400125,0.942998997,2534.507365
4.08,0.909905227,0.921998997,3459.851365
4.0725,0.882418686,0.898,4515.399235
4.065,0.867553117,0.884996656,5086.272064
4.0575,0.844734895,0.865,5962.545506
4.05,0.817399071,0.841,7012.305506
4.0275,0.801534185,0.826993311,7621.554456
4.005,0.784639127,0.811993311,8270.364456
3.9825,0.763366439,0.793,9087.285757
3.96,0.739979123,0.772,9985.413757
3.935,0.715629101,0.749996656,10920.51189
3.91,0.681537201,0.718993311,12229.72112
3.885,0.657507545,0.697,13152.51647
3.86,0.636878304,0.677996656,13944.72789
3.8275,0.615353536,0.658,14771.32964
3.795,0.591869843,0.635996656,15673.15872
3.7625,0.570710617,0.616,16485.72281
3.73,0.539240671,0.586,17694.24281
3.71,0.514199706,0.562,18655.87481
3.69,0.494479006,0.542996656,19413.1961
3.67,0.472804397,0.521996656,20245.5521
3.65,0.447138475,0.496993311,21231.18394
3.6075,0.426850924,0.476996656,22010.27363
3.565,0.408804218,0.458996656,22703.30963
3.5225,0.383040889,0.432989967,23692.6821
3.48,0.359552329,0.408989967,24594.6981
3.44,0.343109073,0.391993311,25226.15785
3.4,0.321119869,0.368996656,26070.59504
3.36,0.299379881,0.345989967,26905.46177
3.32,0.276971254,0.321989967,27766.00577
3.2825,0.252046298,0.294989967,28723.18277
3.245,0.231059543,0.271993311,29529.12356
3.2075,0.208505174,0.246989967,30395.26441
3.17,0.189783509,0.225989967,31114.22041
3.14,0.167703784,0.200986622,31962.13383
3.11,0.150214031,0.180989967,32633.7815
3.08,0.131154803,0.158986622,33365.70075
3.05,0.113141844,0.137986622,34057.44075
3.02,0.098706195,0.120989967,34611.80366
2.99,0.083570248,0.102989967,35193.05966
2.96,0.072745627,0.089986622,35608.75058
2.93,0.060385447,0.074986622,36083.41058
2.91,0.043199313,0.053986622,36743.39858
2.89,0.034261642,0.042989967,37086.62619
2.8675,0.02781286,0.034993311,37334.27462
2.845,0.015811251,0.019993311,37795.16462
2.8225,0.008667236,0.010993311,38069.51162
2.8,0,-1.34E-05,38402.35389
