Battery Model,Cell Size,Ohm-Wh,Max Amps @ 90%,Normalized A/Wh
LT 19660 (JP30?),18650,0.06696,58.06,5.376
Reliance RS40,21700,0.06912,75.0,5.208
EVE 30PL (w/ CCC),18650,0.0702,55.38,5.128
Tenpower 40XG,21700,0.072,72.0,5.0
EVE 40PL,21700,0.07344,70.59,4.902
LT 22710A,21700,0.07776,66.67,4.63
Vapcell S41,21700,0.08064,64.29,4.464
Samsung 20S3,18650,0.08208,31.58,4.386
Ampace JP40,21700,0.0864,60.0,4.167
Reliance RS50,21700,0.092664,69.23,3.885
BAK 45D,21700,0.0972,60.0,3.704
Molicel P30B,18650,0.10152,38.3,3.546
LG H30A,21700,0.1134,34.29,3.175
Reliance RS50 (CCC),21700,0.11583,55.38,3.108
EVE 50PL,21700,0.1188,54.55,3.03
Tenpower 50XG,21700,0.1242,52.17,2.899
BAK H18650CAP,18650,0.126936,20.93,2.836
BTCAP 42P,21700,0.127008,42.86,2.834
Samsung 30T,21700,0.129456,31.03,2.781
EVE 20P,18650,0.13824,18.75,2.604
Murata VTC5A,18650,0.1404,23.08,2.564
Murata VTC4,18650,0.141372,19.25,2.546
Molicel P26A,18650,0.142272,23.68,2.53
Samsung 24S,18650,0.144288,21.56,2.495
Murata VTC5D,18650,0.1458,24.0,2.469
Sony VTC5D,18650,0.1458,24.0,2.469
Molicel P50B,21700,0.1476,43.9,2.439
Epoch 45B,21700,0.14904,39.13,2.415
Samsung 25S,18650,0.1521,21.3,2.367
Molicel P28B,18650,0.153576,22.78,2.344
Molicel P45B,21700,0.155394,37.11,2.317
BAK N18650COP,18650,0.1566,20.69,2.299
Samsung 25R8,18650,0.1611,20.11,2.235
LG H40A,21700,0.16128,32.14,2.232
Murata VTC6A,21700,0.16128,32.14,2.232
Epoch 28B,18650,0.16137,22.09,2.231
EVE 40P,21700,0.16272,31.86,2.212
EVE 25P (no CCC),18650,0.165888,18.75,2.17
Samsung 45T,21700,0.16848,34.62,2.137
Tenpower 40TG,21700,0.17136,30.25,2.101
BAK N18650CNP,18650,0.1746,18.56,2.062
LG HJ2,18650,0.177354,21.56,2.03
Samsung 30Q6,18650,0.17928,21.69,2.008
EVE 30P,18650,0.18144,21.43,1.984
Molicel P28A,18650,0.183456,19.78,1.962
Molicel P42A,21700,0.1872,27.69,1.923
EVE 25P (w/ CCC),18650,0.189,17.14,1.905
Murata VTC5,18650,0.195624,17.22,1.84
Murata VTC6,18650,0.19872,19.57,1.812
Sony VT4,18650,0.20088,12.9,1.792
Lishen LR2170LA,21700,0.20448,25.35,1.761
Samsung 40T5,21700,0.20736,25.0,1.736
Sinowatt 25SP,18650,0.2088,15.52,1.724
Sony VTC6,18650,0.23112,16.82,1.558
Samsung 50S2,21700,0.2412,26.87,1.493
LG HG2 (QR code),18650,0.25056,15.0,1.437
Sinowatt 30SP,18650,0.26136,14.88,1.377
LG H50,21700,0.269892,23.53,1.334
EVE 26V,18650,0.291006,11.36,1.237
Samsung 50GB,21700,0.297,21.82,1.212
Samsung 50E2,21700,0.298116,21.3,1.208
Samsung 58E,21700,0.30882384,23.08,1.166
LG M50LT,21700,0.316224,19.67,1.138
Lishen LR2170SA,21700,0.3168,16.36,1.136
Sinowatt 35HP,18650,0.320796,13.53,1.122
Vapcell F56,21700,0.326592,22.22,1.102
LG H51T,21700,0.3312,19.57,1.087
EVE 29V,18650,0.332424,10.53,1.083
EVE 58E,21700,0.352944,20.93,1.02
LG M32,18650,0.35964,10.81,1.001
Samsung 35E5,18650,0.3618,12.0,0.995
BAK 53E,21700,0.370152,18.56,0.973
EVE 33V (w/ CCC),18650,0.37044,10.5,0.972
Tenpower 32HE,18650,0.374976,10.71,0.96
Molicel M50A,21700,0.375732,16.9,0.958
LG M58T,21700,0.3789828,19.05,0.95
Vapcell F58,21700,0.37962,19.46,0.948
Lishen LR2170SF,21700,0.38394,15.19,0.938
BAK 21700CG-50,21700,0.391608,16.22,0.919
EVE 35V (w/ CCC),18650,0.394128,11.18,0.913
Sony VC7,18650,0.39942,11.36,0.901
Vapcell F60,21700,0.41904,18.56,0.859
Vapcell F38,18650,0.43776,11.25,0.822
Vapcell F63,21700,0.440586,18.09,0.817
Lishen LR2170SK,21700,0.44919,16.59,0.801
Lishen LR2170SD,21700,0.44982,14.12,0.8
DMEGC 29E,18650,0.452052,8.31,0.796
EVE 50E,21700,0.4554,14.23,0.791
Vapcell N40,18650,0.45504,11.39,0.791
LG M50T,21700,0.478044,13.28,0.753
Vapcell N41,18650,0.509076,10.06,0.707
Panasonic GA,18650,0.52272,8.18,0.689
Samsung 53G,21700,0.526032,12.81,0.684
DLG INR18650-320,18650,0.53766,6.99,0.67
LG MJ1,18650,0.56826,7.98,0.634
Sinowatt 34MP,18650,0.60957,6.91,0.591
Molicel M35A,18650,0.63342,7.06,0.568
SAFD,18650,0.816228,6.27,0.441
