Model,Size,Weight,Size,Nominal Wh/kg,Usable Wh/kg,Efficiency %
Reliance RS50,21700,66,21.1 x 70.2,254.5714286,233.5576923,91.74544591
BAK 45D,21700,67,21.3 x 70.2,231.4285714,201.25,86.95987654
Reliance RS40,21700,65.1,21.1 x 70.2,205.7142857,198.8571429,96.66666667
Tenpower 40XG,21700,66.2,21.3 x 70.2 mm,205.7142857,198.5714286,96.52777778
EVE 40PL,21700,65.2,21.1 x 70.1 mm,205.7142857,198.4285714,96.45833333
LT 22710A,21700,68.2,21.1 x 70.2,205.7142857,198,96.25
Vapcell S41,21700,72,21.2 x 70.2,205.7142857,197.7142857,96.11111111
Ampace JP40,21700,,,205.7142857,197.1428571,95.83333333
LT 19660 (JP30?),18650,,,240,194.4758065,81.03158602
EVE 30PL (w/ CCC),18650,,,240,185.0961538,77.12339744
Reliance RS50 (CCC),21700,,,254.5714286,185.0961538,72.70892688
EVE 50PL,21700,,,257.1428571,182.1590909,70.83964646
Tenpower 50XG,21700,,,257.1428571,173.8586957,67.61171498
Molicel P50B,21700,,,257.1428571,144.9085366,56.35331978
BTCAP 42P,21700,,,216,141.25,65.39351852
Epoch 45B,21700,,,231.4285714,128.2065217,55.39787976
Molicel P30B,18650,,,240,125.2925532,52.2052305
Molicel P45B,21700,,,228.8571429,121.1469072,52.9356024
Samsung 45T,21700,,,231.4285714,112.4038462,48.56956315
LG H30A,21700,,,154.2857143,111.25,72.10648148
Murata VTC6A,21700,,,205.7142857,103.75,50.43402778
LG H40A,21700,,,205.7142857,103.75,50.43402778
EVE 40P,21700,,,205.7142857,102.7544248,49.9500676
Samsung 20S3,18650,,,160,101.7763158,63.61019737
Samsung 30T,21700,,,159.4285714,99.87068966,62.6429057
Tenpower 40TG,21700,,,205.7142857,97.13235294,47.21711601
Molicel P42A,21700,,,205.7142857,88.17307692,42.86191239
Samsung 50S2,21700,,,257.1428571,85.27985075,33.1643864
Lishen LR2170LA,21700,,,205.7142857,79.98239437,38.88033059
Samsung 40T5,21700,,,205.7142857,78.75,38.28125
Murata VTC5D,18650,,,216,75.25,34.83796296
Sony VTC5D,18650,,,216,75.25,34.83796296
Molicel P26A,18650,,,208,74.14473684,35.6465081
LG H50,21700,,,252,73.60294118,29.20751634
Samsung 58E,21700,,,282.8057143,72.01923077,25.46597439
Murata VTC5A,18650,,,200,72.01923077,36.00961538
Molicel P28B,18650,,,216,70.99683544,32.8689053
Vapcell F56,21700,,,288,69.02777778,23.9679784
Epoch 28B,18650,,,220,68.5506135,31.15936977
Samsung 50GB,21700,,,257.1428571,67.61363636,26.29419192
Samsung 30Q6,18650,,,240,67.15361446,27.98067269
LG HJ2,18650,,,236,66.6991018,28.26233127
Samsung 24S,18650,,,192,66.6991018,34.73911552
